Activity_StartDate,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Result_Measure,Result_MeasureUnit
2023/08/31,1,ft,0.92,ft
2017/06/09,1,ft,2.92,ft
2022/09/06,1,ft,0.89,ft
2019/06/03,0.5,ft,2,ft
2017/05/03,1,ft,0.82,ft
2021/09/16,0.8,ft,1.12,ft
2023/12/11,2,ft,0.82,ft
2021/12/13,1,ft,0.82,ft
2019/08/09,1.5,ft,0.99,ft
2020/11/05,0.5,ft,0.82,ft
2017/07/20,0.5,ft,1.25,ft
2020/04/24,1,ft,1.14,ft
2016/06/24,0.5,ft,2.23,ft
2019/12/13,0.5,ft,0.82,ft
2024/02/08,1,ft,0.83,ft
2017/05/03,1,ft,0.82,ft
2017/10/11,0.5,ft,0.8,ft
2020/10/08,0.5,ft,1.18,ft
2017/10/11,0.5,ft,0.79,ft
2024/04/16,,,1.16,ft
2024/05/14,,,1.64,ft
2024/06/03,,,3.08,ft
2024/06/25,,,1.43,ft
2024/10/08,,,0.93,ft
2024/12/13,,,0.83,ft
2020/01/29,0.5,ft,0.82,ft
2017/12/28,0.5,ft,0.79,ft
2017/11/13,0.5,ft,0.81,ft
2024/07/16,,,0.86,ft
2020/12/15,0.4,ft,0.82,ft
2016/02/26,0.5,ft,0.82,ft
2022/06/09,2,ft,0.87,ft
2019/12/13,0.5,ft,0.81,ft
2022/07/29,1.2,ft,0.85,ft
2017/11/13,0.5,ft,0.82,ft
2017/05/18,1,ft,2.24,ft
2022/07/29,1.2,ft,0.85,ft
2025/02/12,,,0.83,ft
2025/04/08,,,1.16,ft
2025/05/23,,,1.9,ft
2025/07/31,1.3,ft,0.87,ft
2025/08/29,1.3,ft,1.5,ft
2025/11/21,1,ft,0.79,ft
2025/08/29,1.3,ft,1.51,ft
2024/07/16,,,0.85,ft
2025/11/21,1,ft,0.79,ft
2025/07/31,1.3,ft,0.85,ft
2025/05/23,,,1.9,ft
2025/04/08,,,1.15,ft
2024/12/13,,,0.82,ft
2025/02/12,,,0.82,ft
2024/10/08,,,0.92,ft
2024/06/25,,,1.44,ft
2024/04/16,,,1.15,ft
2024/06/03,,,3.08,ft
2024/05/14,,,1.64,ft
