,slope,length_m,length (m)
210,0.00222826,1646.544528,251573.38001985007
211,0.00274941,1713.066464,253286.44648385007
212,0.00179141,1620.283733,254906.73021685006
213,1e-05,1119.357997,256026.08821385007
214,0.01557522,111.9311105,256138.01932435008
215,0.00167359,2629.562725,258767.58204935008
216,1e-05,628.714445,259396.29649435007
217,0.00173706,1888.328996,261284.62549035007
218,0.00121621,4794.211125,266078.83661535004
219,0.0396875,32.63516096,266111.47177631006
220,0.00080233,1368.325429,267479.7972053101
221,0.00097782,4193.568041,271673.3652463101
222,0.00154525,1353.271914,273026.63716031006
223,0.00153999,2013.055237,275039.69239731005
224,1e-05,1234.179979,276273.87237631006
225,0.00516507,1355.376346,277629.24872231006
226,0.00075204,3527.746318,281156.9950403101
227,0.00095425,1267.064444,282424.0594843101
228,1e-05,149.358507,282573.4179913101
229,0.00094631,1794.124347,284367.5423383101
230,0.0020168,1301.769578,285669.3119163101
231,0.00090149,3353.547515,289022.8594313101
232,0.00149075,1667.267783,290690.1272143101
233,0.00080122,1637.575969,292327.7031833101
234,0.00171834,770.0243874,293097.7275707101
235,0.00054973,1909.611523,295007.3390937101
236,1e-05,2044.688376,297052.0274697101
237,0.00321309,1485.168961,298537.1964307101
238,0.00033333,60.53623759,298597.7326683001
239,0.00038888,284.7492457,298882.4819140001
240,0.00038888,254.3979525,299136.8798665001
241,0.00162824,1382.036732,300518.9165985001
242,0.001044,1151.85504,301670.7716385001
243,0.0009839,2186.305807,303857.0774455001
244,1e-05,158.5629865,304015.6404320001
245,0.00063424,471.4961795,304487.1366115001
246,0.00260869,91.90795173,304579.0445632301
247,0.00162162,37.18054285,304616.2251060801
248,0.00025614,973.9215484,305590.14665448014
249,0.0015695,1992.424989,307582.57164348016
250,0.00091176,338.497541,307921.0691844802
251,0.00120331,238.9421133,308160.0112977802
252,1e-05,23.93950792,308183.9508057002
253,0.00088414,1302.575126,309486.5259317002
254,0.00040583,1566.550315,311053.0762467002
255,0.00045248,665.2251227,311718.3013694002
256,0.00101571,822.7020013,312541.0033707002
257,0.00065798,1461.377212,314002.3805827002
258,0.00075471,1330.47898,315332.8595627002
259,0.00106214,878.2029642,316211.0625269002
260,0.00067975,1847.455774,318058.5183009002
261,0.00067975,785.7975854,318844.3158863002
262,0.00050061,7272.226603,326116.5424893002
263,0.00077378,5915.908713,332032.4512023002
264,0.0010964,526.5507015,332559.0019038002
265,0.00053569,8837.901945,341396.90384880017
266,1e-05,6172.958861,347569.8627098002
267,1e-05,100.3154343,347670.1781441002
268,1e-05,7410.665468,355080.8436121002
269,1e-05,2356.780956,357437.62456810015
270,1e-05,866.221989,358303.8465571001
271,1e-05,8091.75588,366395.60243710014
272,0.00071017,9205.89883,375601.50126710016
273,0.00016513,5992.793494,381594.29476110014
274,0.00024225,2507.291038,384101.58579910017
275,0.00019207,4933.58979,389035.17558910017
276,0.00024141,13432.32697,402467.50255910016
277,1e-05,184.295463,402651.7980221002
278,1e-05,1504.696196,404156.49421810015
279,0.00107565,1928.356105,406084.85032310017
280,1e-05,9594.428621,415679.27894410014
281,0.00034371,4974.436332,420653.71527610015
282,1e-05,1444.879438,422098.5947141001
283,1e-05,1931.944304,424030.5390181001
284,1e-05,2047.611795,426078.1508131001
285,1e-05,997.2138586,427075.3646717001
286,1e-05,283.9823562,427359.3470279001
